model_id,target_repository,selected_condition,source_project_mean_macro_f1,source_project_mean_invalid_rate,source_mean_input_token_count,selection_rule,t0_macro_f1,selected_macro_f1,global_selected_condition,global_selected_macro_f1,global_gain_vs_t0,oracle_condition,oracle_macro_f1,gain_vs_t0,oracle_regret,within_0_01_margin,within_0_02_margin
deepseek-v4-flash,bitcoin/bitcoin,T0,0.6854025382294795,0.0025,1019.2008333333332,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.6960382250692638,0.6960382250692638,T0,0.6960382250692638,0.0,T2,0.710626735554989,0.0,0.0145885104857251,False,True
deepseek-v4-flash,facebook/react,T0,0.6684293873641016,0.0025,1138.5041666666666,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.7666608515435747,0.7666608515435747,T0,0.7666608515435747,0.0,T1,0.768654950701369,0.0,0.0019940991577943,True,True
deepseek-v4-flash,microsoft/vscode,T0,0.7227845141671059,0.0033333333333333,1098.6525,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.5883401638919465,0.5883401638919465,T0,0.5883401638919465,0.0,T1,0.6062978090490053,0.0,0.0179576451570587,False,True
deepseek-v4-flash,opencv/opencv,T0,0.695918531357813,0.0016666666666666,939.9766666666668,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.7022792022792022,0.7022792022792022,T0,0.7022792022792022,0.0,T2,0.7059573829531812,0.0,0.003678180673979,True,True
deepseek-v4-flash,tensorflow/tensorflow,T0,0.6880890764743511,0.0033333333333333,1005.7725,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.759267215658193,0.759267215658193,T0,0.759267215658193,0.0,T0,0.759267215658193,0.0,0.0,True,True
glm-5.2,bitcoin/bitcoin,T0,0.7163703896843225,0.0,902.2283333333334,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.7189655245454393,0.7189655245454393,T0,0.7189655245454393,0.0,T0,0.7189655245454393,0.0,0.0,True,True
glm-5.2,facebook/react,T0,0.6991670429975153,0.0008333333333333,1012.0275,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.7886778812846625,0.7886778812846625,T0,0.7886778812846625,0.0,T0,0.7886778812846625,0.0,0.0,True,True
glm-5.2,microsoft/vscode,T0,0.7550560492551357,0.0008333333333333,966.2766666666666,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.6384819713627751,0.6384819713627751,T0,0.6384819713627751,0.0,T0,0.6384819713627751,0.0,0.0,True,True
glm-5.2,opencv/opencv,T0,0.7200606695446747,0.0008333333333333,835.975,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.7743252023963043,0.7743252023963043,T0,0.7743252023963043,0.0,T0,0.7743252023963043,0.0,0.0,True,True
glm-5.2,tensorflow/tensorflow,T0,0.7210446999167747,0.0008333333333333,890.8691666666666,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.7497928331286484,0.7497928331286484,T0,0.7497928331286484,0.0,T0,0.7497928331286484,0.0,0.0,True,True
kimi-k2.7-code,bitcoin/bitcoin,T0,0.7258673739880138,0.0016666666666666,879.4016666666666,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.7769619269619269,0.7769619269619269,T0,0.7769619269619269,0.0,T0,0.7769619269619269,0.0,0.0,True,True
kimi-k2.7-code,facebook/react,T0,0.7115569938229116,0.0016666666666666,984.1658333333334,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.7901740779176193,0.7901740779176193,T0,0.7901740779176193,0.0,T0,0.7901740779176193,0.0,0.0,True,True
kimi-k2.7-code,microsoft/vscode,T0,0.7649260668089557,0.0016666666666666,947.0975,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.6400966051492367,0.6400966051492367,T0,0.6400966051492367,0.0,T0,0.6400966051492367,0.0,0.0,True,True
kimi-k2.7-code,opencv/opencv,T0,0.7323607638526465,0.0,813.1891666666667,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.7740641711229946,0.7740641711229946,T0,0.7740641711229946,0.0,T0,0.7740641711229946,0.0,0.0,True,True
kimi-k2.7-code,tensorflow/tensorflow,T0,0.7218440672271969,0.0016666666666666,868.3625,highest equal-weight source-repository Macro-F1 mean; then lower project-mean invalid rate; then lower mean input tokens; then T0-T4,0.7876256297308929,0.7876256297308929,T0,0.7876256297308929,0.0,T0,0.7876256297308929,0.0,0.0,True,True
